Date,Type,Link
2022-01-10 15:58:12,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6884275517982334976
2022-01-08 19:13:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6884193963952222208?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6884193963952222208%2C6884526511160999936%29
2022-01-08 19:13:19,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6884193963952222208?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6884193963952222208%2C6884433678387171328%29
2022-01-08 19:13:16,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6884193963952222208?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6884193963952222208%2C6884270683216502784%29
2022-01-08 19:13:14,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6884193963952222208?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6884193963952222208%2C6884616978275942400%29
2022-01-08 19:13:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6884193963952222208?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6884193963952222208%2C6884361176990531584%29
2020-08-18 16:23:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6701334785215881216
2020-08-18 16:23:01,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6698215667851771904
2020-08-18 16:22:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6700610976024264704
2020-08-18 16:21:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6697783642455973889?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A6697783642455973889%2C6700319722539483136%29
2020-08-13 13:25:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6699547117146517504
2020-08-10 15:57:49,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6698605523413016576
2020-08-10 12:14:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6696559172986646528
2020-08-10 12:07:30,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6698418259517034496
2020-08-10 12:07:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aarticle%3A7280909909351621598
2020-08-10 08:25:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6694508440192077824
2020-08-10 06:43:12,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6698466400337584128
2020-08-10 02:10:15,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6693903451212046336
2020-08-09 13:58:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6697796238349361152
2020-08-09 13:56:21,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6697160045114863617
2020-08-09 12:18:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6698152347320807424
2020-08-06 11:06:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6697074617867218944
2020-08-06 07:54:07,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6693540020256698368
2020-08-06 06:03:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6692658200849862656
2020-08-06 04:33:26,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6696456416250630144
2020-08-05 15:05:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6696450526407622656
2020-08-05 03:38:50,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6696433520216281088
2020-08-04 11:35:23,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6691028602617638912
2020-08-04 08:12:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6694092828127186944
2020-08-04 08:12:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6696320386310778880
2020-08-04 07:17:28,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6692082618436993024
2020-08-04 07:16:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6696041012797743105
2020-08-04 07:16:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6696271905915248640
2020-08-04 02:24:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6695840913530388480
2020-08-04 02:01:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6695568931463286784
2020-08-03 15:18:21,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6690843244449816576
2020-08-03 15:16:37,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6693486953209360384
2020-08-03 15:15:56,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6694455803279233024
2020-08-03 15:15:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6694407632347918336
2020-08-03 14:55:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6694118811299409920
